nm_id,name,brand,price,old_price,rating,feedbacks,url,image_url,category,description,reviews
457625501,/ Смартфон Galaxy S25 12+256 GB SM-S931BDBCCAU,Samsung,68154,68154,5,14 оценок,https://www.wildberries.ru/catalog/457625501/detail.aspx,https://basket-26.wbbasket.ru/vol4576/part457625/457625501/images/c516x688/1.webp,Smartphones,,
458601334,/ Смартфон Galaxy S25+ 12+512 GB SM-S936BZSCCAU,Samsung,81523,81523,5,3 оценки,https://www.wildberries.ru/catalog/458601334/detail.aspx,https://basket-26.wbbasket.ru/vol4586/part458601/458601334/images/c516x688/1.webp,Smartphones,,
439376985,/ Смартфон C75 8+256 Чёрный,Realme,10175,10175,"4,8",270 оценок,https://www.wildberries.ru/catalog/439376985/detail.aspx,https://basket-25.wbbasket.ru/vol4393/part439376/439376985/images/c516x688/1.webp,Smartphones,,
574366459,/ SMART 9 4+128GB,Infinix,6003,6003,"4,9",283 оценки,https://www.wildberries.ru/catalog/574366459/detail.aspx,https://basket-29.wbbasket.ru/vol5743/part574366/574366459/images/c516x688/1.webp,Smartphones,,
523379312,/ Смартфон Galaxy A17 SM-A175FZACCAU 6+128 GB серый,Samsung,13607,13607,"4,8",58 оценок,https://www.wildberries.ru/catalog/523379312/detail.aspx,https://basket-28.wbbasket.ru/vol5233/part523379/523379312/images/c516x688/1.webp,Smartphones,,
462107404,/ Смартфон Galaxy Z Flip7 FE 5G 8+256 GB SM-F761BZWHCAU,Samsung,65366,65366,5,26 оценок,https://www.wildberries.ru/catalog/462107404/detail.aspx,https://basket-26.wbbasket.ru/vol4621/part462107/462107404/images/c516x688/1.webp,Smartphones,,
430847857,"/ Смартфон А5x 4 128 Ростест (EAC), сапфир",oppo,6042,6042,"4,8",1 814 оценок,https://www.wildberries.ru/catalog/430847857/detail.aspx,https://basket-24.wbbasket.ru/vol4308/part430847/430847857/images/c516x688/1.webp,Smartphones,,
430847073,"/ Смартфон А5x 4 128 Ростест (EAC), перламутр",oppo,6042,6042,"4,9",1 196 оценок,https://www.wildberries.ru/catalog/430847073/detail.aspx,https://basket-24.wbbasket.ru/vol4308/part430847/430847073/images/c516x688/1.webp,Smartphones,,
574366453,/ SMART 9 4+128GB,Infinix,6005,6005,"4,9",283 оценки,https://www.wildberries.ru/catalog/574366453/detail.aspx,https://basket-29.wbbasket.ru/vol5743/part574366/574366453/images/c516x688/1.webp,Smartphones,,
521563873,/ Смартфон Galaxy S25 FE SM-S731BDBCCAU 8+256 GB синий,Samsung,46074,46074,5,28 оценок,https://www.wildberries.ru/catalog/521563873/detail.aspx,https://basket-28.wbbasket.ru/vol5215/part521563/521563873/images/c516x688/1.webp,Smartphones,,
462107402,/ Смартфон Galaxy Z Flip7 FE 5G 8+256 GB SM-F761BZKHCAU,Samsung,65366,65366,5,15 оценок,https://www.wildberries.ru/catalog/462107402/detail.aspx,https://basket-26.wbbasket.ru/vol4621/part462107/462107402/images/c516x688/1.webp,Smartphones,,
526082817,/ Смартфон Note 60X 3GB 64GB Green,Realme,7504,7504,"4,9",218 оценок,https://www.wildberries.ru/catalog/526082817/detail.aspx,https://basket-28.wbbasket.ru/vol5260/part526082/526082817/images/c516x688/1.webp,Smartphones,,
585752904,"/ Смартфон A55 4+128 ГБ Spectre 5G, черный",INOI,4563,4563,"4,8",285 оценок,https://www.wildberries.ru/catalog/585752904/detail.aspx,https://basket-30.wbbasket.ru/vol5857/part585752/585752904/images/c516x688/1.webp,Smartphones,,
494949159,/ Смартфон Note 60X 3GB 64GB Black,Realme,4879,4879,"4,8",413 оценок,https://www.wildberries.ru/catalog/494949159/detail.aspx,https://basket-27.wbbasket.ru/vol4949/part494949/494949159/images/c516x688/1.webp,Smartphones,,
390805139,/ Смартфон Note 60x 4 128 ГБ Чёрный,Realme,8453,8453,"4,9",199 оценок,https://www.wildberries.ru/catalog/390805139/detail.aspx,https://basket-22.wbbasket.ru/vol3908/part390805/390805139/images/c516x688/1.webp,Smartphones,,
169494580,/ Чехол на Spark 10 Pro,TECNO,281,281,"4,7",120 оценок,https://www.wildberries.ru/catalog/169494580/detail.aspx?targetUrl=MI,https://basket-12.wbbasket.ru/vol1694/part169494/169494580/images/c516x688/1.webp,Smartphones,,
144501565,"/ Смартфон андроид с большим экраном A83 6 128Gb, черный",INOI,4726,4726,"4,6",484 оценки,https://www.wildberries.ru/catalog/144501565/detail.aspx?targetUrl=MI,https://basket-10.wbbasket.ru/vol1445/part144501/144501565/images/c516x688/1.webp,Smartphones,,
164742814,/ Защитное стекло Inoi a62 lite иной а62 лайт,MSeven,232,232,"4,6",75 оценок,https://www.wildberries.ru/catalog/164742814/detail.aspx?targetUrl=MI,https://basket-11.wbbasket.ru/vol1647/part164742/164742814/images/c516x688/1.webp,Smartphones,,
143329828,/ Чехол на A17K Оппо А17К,oppo,339,339,"4,9",303 оценки,https://www.wildberries.ru/catalog/143329828/detail.aspx?targetUrl=MI,https://basket-10.wbbasket.ru/vol1433/part143329/143329828/images/c516x688/1.webp,Smartphones,,
152697072,,Samsung,,,"3,6",,https://www.wildberries.ru/catalog/152697072/detail.aspx?targetUrl=MI,https://basket-10.wbbasket.ru/vol1526/part152697/152697072/images/c516x688/1.webp,Smartphones,,
